CODIGO_PROYECTO,PROGRAMA,INSTRUMENTO,ANO_FALLO,AREA_OCDE,SEXO
DFG190004,FONDEQUIP,INVESTIGACION SOUTHTRAC DFG ALEMANIA,2019,MULTIDISCIPLINARIO,HOMBRE
MEC80190094,PCI,MOVILIDAD - MEC,2019,CIENCIAS NATURALES,HOMBRE
ID19I10056,FONDEF,IDeA I+D,2019,INGENIERIA Y TECNOLOGIA,HOMBRE
1190927,FONDECYT,REGULAR,2019,CIENCIAS NATURALES,MUJER
R19F10004,REGIONAL,Fortalecimiento Anual I+D,2019,CIENCIAS NATURALES,HOMBRE
1190900,FONDECYT,REGULAR,2019,CIENCIAS NATURALES,HOMBRE
MEC80190114,PCI,MOVILIDAD - MEC,2019,CIENCIAS NATURALES,MUJER
MEC80190099,PCI,MOVILIDAD - MEC,2019,CIENCIAS SOCIALES,HOMBRE
11190802,FONDECYT,INICIACION,2019,CIENCIAS NATURALES,HOMBRE
aub1900003,PIA,TIEMPO DE BUQUE OCEANOGRAFICO,2019,CIENCIAS NATURALES,HOMBRE
MEC80190113,PCI,MOVILIDAD - MEC,2019,CIENCIAS AGRICOLAS,HOMBRE
SA20I0174,FONIS,FONIS Regular - Etapa 1,2020,CIENCIAS MEDICAS Y DE LA SALUD,MUJER
1200469,FONDECYT,REGULAR,2020,HUMANIDADES,HOMBRE
FP200006,INFORMACION CIENTIFICA,FPRC,2020,SIN INFORMACION,MUJER
EQM200198,FONDEQUIP,Concurso de Equipamiento CientIfico y TecnolOgico Mediano,2020,CIENCIAS NATURALES,HOMBRE
ecos190041,PCI,MOVILIDAD - ECOS,2020,CIENCIAS SOCIALES,MUJER
11200969,FONDECYT,INICIACION,2020,CIENCIAS SOCIALES,MUJER
11200024,FONDECYT,INICIACION,2020,CIENCIAS NATURALES,HOMBRE
AUB2000006,PIA,TIEMPO DE BUQUE OCEANOGRAFICO,2020,CIENCIAS NATURALES,HOMBRE
NODO200004,REGIONAL,Nodos,2020,CIENCIAS SOCIALES,HOMBRE
PAI77200078,PAI,SIA,2020,CIENCIAS NATURALES,HOMBRE
PAI77200036,PAI,SIA,2020,CIENCIAS NATURALES,MUJER
EQM200088,FONDEQUIP,Concurso de Equipamiento CientIfico y TecnolOgico Mediano,2020,CIENCIAS NATURALES,MUJER
1201810,FONDECYT,REGULAR,2020,CIENCIAS NATURALES,HOMBRE
11201249,FONDECYT,INICIACION,2020,CIENCIAS NATURALES,HOMBRE
1201513,FONDECYT,REGULAR,2020,CIENCIAS SOCIALES,HOMBRE
EQM200182,FONDEQUIP,Concurso de Equipamiento CientIfico y TecnolOgico Mediano,2020,CIENCIAS NATURALES,HOMBRE
R20F0002,REGIONAL,Fortalecimiento a la Continuidad,2020,CIENCIAS NATURALES,HOMBRE
ID20I10338,FONDEF,IDeA - I+D,2020,CIENCIAS AGRICOLAS,HOMBRE
1200727,FONDECYT,REGULAR,2020,CIENCIAS SOCIALES,HOMBRE
R20F0009,REGIONAL,Fortalecimiento a la Continuidad,2020,CIENCIAS NATURALES,MUJER
11200331,FONDECYT,INICIACION,2020,HUMANIDADES,HOMBRE
3200226,FONDECYT,POSTDOCTORADO,2020,CIENCIAS SOCIALES,HOMBRE
3180754,FONDECYT,POSTDOCTORADO,2018,CIENCIAS AGRICOLAS,MUJER
